Status,"Onsite 
Year","Completion
Year","Housing 
Association",Scheme Name,Location ,Units,Type,"Need 
Group",StrategicGroup,HE Region,Local Government District ,"Parliamentary 
Constituency ",Lat,Long,PlanningRef,
Construction On-going,2020/21,2024/25,Apex,Craigmore Way,Newry,25,New Build,Wheelchair Standard,Urban,South,Newry Mourne & Down,Newry & Armagh,54.1873012,-6.352837141,https://planningregister.planningsystemni.gov.uk/application/504614,Kevin Watson Group
Construction On-going,2020/21,2027/28,Apex,Glenmona,Belfast,443,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.58770838,-5.99858945,https://planningregister.planningsystemni.gov.uk/application/506500,BW Homes & Construction Ltd
Construction On-going,2020/21,2027/28,Apex,Glenmona,Belfast,40,New Build,Active Elderly,Urban,Belfast,Belfast,West Belfast,54.58633381,-5.998520062,https://planningregister.planningsystemni.gov.uk/application/506500,BW Homes & Construction Ltd
Construction On-going,2020/21,2027/28,Apex,Glenmona,Belfast,38,New Build,Wheelchair Standard,Urban,Belfast,Belfast,West Belfast,54.58555485,-5.995941989,https://planningregister.planningsystemni.gov.uk/application/506500,BW Homes & Construction Ltd
Construction On-going,2020/21,2022/23,Arbour ,1A Lenamore Park,Newtownards,1,Rehab,General Needs,Urban,South,Ards & North Down,Strangford,54.59087502,-5.685230055,,
Construction On-going,2020/21,2022/23,Arbour ,1B Lenamore Park,Newtownards,1,Rehab,General Needs,Urban,South,Ards & North Down,Strangford,54.59096064,-5.6851942,,
Construction On-going,2020/21,2022/23,Arbour ,1C Lenamore Park,Newtownards,1,Rehab,General Needs,Urban,South,Ards & North Down,Strangford,54.59102291,-5.685155135,,
Construction On-going,2020/21,2022/23,Arbour ,139 Upper Greenwell Street,Newtownards,1,Rehab,General Needs,Urban,South,Ards & North Down,Strangford,54.5911432,-5.685212113,,
Construction On-going,2020/21,2023/24,Arbour ,41 Knockeneagh Avenue,Newtownabbey,39,New Build,General Needs,Urban,North,Antrim & Newtownabbey,North Belfast,54.67542953,-5.916186679,,
Construction On-going,2020/21,2023/24,Arbour ,41 Knockeneagh Avenue,Newtownabbey,20,New Build,Active Elderly,Urban,North,Antrim & Newtownabbey,North Belfast,54.67525168,-5.91607918,,
Construction On-going,2020/21,2023/24,Arbour ,41 Knockeneagh Avenue,Newtownabbey,4,New Build,Wheelchair Standard,Urban,North,Antrim & Newtownabbey,North Belfast,54.67525041,-5.91613074,,
Construction On-going,2020/21,2022/23,Ark,Derrytrasna Road,Derrytrasna,12,New Build,General Needs,Rural,South,Armagh Banbridge & Craigavon,Upper Bann,54.50213653,-6.466377033,https://planningregister.planningsystemni.gov.uk/application/659157,
Construction On-going,2020/21,2022/23,Ark,Derrytrasna Road,Derrytrasna,2,New Build,Wheelchair Standard,Rural,South,Armagh Banbridge & Craigavon,Upper Bann,54.50186113,-6.466133571,https://planningregister.planningsystemni.gov.uk/application/659157,
Construction On-going,2020/21,2022/23,Ark,Railway Road,Coleraine,12,Off The Shelf,General Needs,Urban,North,Causeway Coast & Glens,East Londonderry,55.13244883,-6.665462073,,
Construction On-going,2020/21,2022/23,Ark,Main Street,Strabane,12,New Build,General Needs,Urban,North,Derry & Strabane ,West Tyrone,54.82521984,-7.463248203,,
Construction On-going,2020/21,2022/23,Ark,125-139 Strand Road,Londonderry,26,New Build,Active Elderly,Urban,North,Derry & Strabane ,Foyle,55.00746709,-7.31990493,,
Construction On-going,2020/21,2022/23,Ark,125-139 Strand Road,Londonderry,1,New Build,Wheelchair Standard,Urban,North,Derry & Strabane ,Foyle,55.00756267,-7.319863991,,
Construction On-going,2020/21,2022/23,Ark,149-151 Warren Gardens,Lisburn,20,New Build,Active Elderly,Urban,Belfast,Lisburn & Castlereagh,Lagan Valley,54.50285974,-6.057158776,https://planningregister.planningsystemni.gov.uk/application/323168,
Construction On-going,2020/21,2022/23,Ark,56-60 East Street,Newtownards,16,New Build,General Needs,Urban,South,Ards & North Down,Strangford,54.59500312,-5.696849782,https://planningregister.planningsystemni.gov.uk/application/577350,
Construction On-going,2020/21,2022/23,Ark,56-60 East Street,Newtownards,4,New Build,Wheelchair Standard,Urban,South,Ards & North Down,Strangford,54.59475181,-5.696948459,https://planningregister.planningsystemni.gov.uk/application/577350,
Construction On-going,2020/21,2023/24,Ark,18-52 Ogle Street ,Armagh,38,New Build,General Needs,Urban,South,Armagh Banbridge & Craigavon,Newry & Armagh,54.34538847,-6.655709884,https://planningregister.planningsystemni.gov.uk/application/663681,
Construction On-going,2020/21,2023/24,Ark,18-52 Ogle Street ,Armagh,4,New Build,Wheelchair Standard,Urban,South,Armagh Banbridge & Craigavon,Newry & Armagh,54.34541964,-6.655160325,https://planningregister.planningsystemni.gov.uk/application/663681,
Construction On-going,2020/21,2022/23,Choice,Moyard Playpark ,Belfast,14,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.59860262,-5.986903855,https://planningregister.planningsystemni.gov.uk/application/497431,
Construction On-going,2020/21,2023/24,Choice,Mullaghmore Road,Dungannon,28,New Build,General Needs,Urban,South,Mid Ulster,Fermanagh & South Tyrone,54.5111233,-6.785006686,,
Construction On-going,2020/21,2023/24,Choice,Lisburn Road/Ashley Avenue,Belfast,21,New Build,Active Elderly,Urban,Belfast,Belfast,South Belfast,54.58376425,-5.945700631,https://planningregister.planningsystemni.gov.uk/application/469619,
Construction On-going,2020/21,2023/24,Choice,Lisburn Road/Ashley Avenue,Belfast,2,New Build,Wheelchair Standard,Urban,Belfast,Belfast,South Belfast,54.58379054,-5.945775624,https://planningregister.planningsystemni.gov.uk/application/469619,
